node,beta,degree
n4850,-2.58807250110575,15
n4862,-1.86919023742149,30
n4864,-2.73462116602256,13
n4865,-2.40058675432394,18
n4867,-2.52181158765623,16
n487,-3.22876674281693,8
n4874,-2.45946557240675,17
n4885,-2.58807250110575,15
n4889,-3.00216491085157,10
n4892,-2.14687679098636,23
n4895,-2.45946557240675,17
n491,-0.582952379119753,97
n4915,-2.90512719009219,11
n4917,-0.734962635677647,85
n4921,-3.10925402987224,9
n4953,-3.00216491085157,10
n4958,-2.52181158765623,16
n4959,-2.40058675432394,18
n4966,-3.00216491085157,10
n4968,-2.45946557240675,17
n4990,-0.970261693449659,69
n5009,-1.22059731475611,55
n501,-1.70650668077122,35
n5010,-2.65878877372373,14
n5018,-2.81638932330843,12
n5021,-2.14687679098636,23
n5027,-1.59148219783467,39
n5051,-2.10260251764155,24
n5052,-3.36402889844668,7
n5069,-2.10260251764155,24
n5073,-0.789836478032582,81
n5079,-2.01913326864473,26
n5086,-2.19304414862394,22
n5091,-1.90480099215796,29
n5101,-2.52181158765623,16
n5108,-1.94160240624577,28
n511,-1.97968104286878,27
n5121,-1.51227480678235,42
n5147,-1.67663181284106,36
n5158,-3.51991143906438,6
n5162,-1.2610167111047,53
n5191,-2.29178836023261,20
n5208,-1.4870461441925,43
n5213,-2.10260251764155,24
n5223,-2.10260251764155,24
n5228,-0.594974094894539,96
n5229,-2.34480010856028,19
n5253,-3.36402889844668,7
n5259,-1.94160240624576,28
n5289,-2.19304414862394,22
n5294,-2.01913326864473,26
n5297,-1.24063513052395,54
n5303,-0.145235260885016,140
n5312,-1.86919023742149,30
n5328,-3.51991143906438,6
n5345,-1.67663181284106,36
n5348,-2.45946557240675,17
n535,-1.61915914781588,38
n5357,-2.90512719009219,11
n5374,-1.64752969557201,37
n5392,-3.36402889844668,7
n5404,-3.10925402987224,9
n5425,-2.24128070372103,21
n5435,-1.67663181284106,36
n5447,-2.45946557240675,17
n5458,-4.2182609136025,3
n5464,-2.10260251764155,24
n5475,-2.19304414862394,22
n5487,-0.986538700526404,68
n5497,-2.52181158765623,16
n5499,-1.32435861872315,50
n55,-2.24128070372103,21
n550,-2.52181158765623,16
n5503,-2.40058675432394,18
n5522,-1.00303272350237,67
n5523,-1.32435861872315,50
n5525,-2.40058675432394,18
n5528,-1.12515399712306,60
n5549,-2.58807250110575,15
n5554,-2.81638932330843,12
n5555,-1.56446375821739,40
n5558,-3.36402889844668,7
n5567,-1.80123595697192,32
n558,-2.73462116602256,13
n5580,-3.00216491085157,10
n5590,-2.90512719009219,11
n5600,-2.52181158765623,16
n5602,-2.58807250110575,15
n5604,-2.24128070372103,21
n5612,-3.22876674281693,8
n5614,-2.19304414862394,22
n5621,-1.64752969557201,37
n5629,-4.62546239996182,2
n5632,-3.92884361178356,4
n5634,-1.90480099215796,29
n5638,0.220741448674841,187
n5648,-2.14687679098636,23
n565,-3.70396596678196,5
n5653,-2.90512719009219,11
n5664,-0.535913509034786,101
n5675,-2.45946557240675,17
n5678,-2.65878877372373,14
n5693,-2.24128070372103,21
n5694,-1.86919023742149,30
n57,-1.67663181284106,36
n5705,-1.64752969557201,37
n5706,-0.970261693449659,69
